,ID_Marque,Marque,Modele_com,Designation_com
218,218,AUDI,A5 CABRIOLET,A5 CABRIOLET 3.0 TDI (245ch) QUATTRO S TRONIC 7 CLEAN DIESEL
219,219,AUDI,A5 CABRIOLET,A5 CABRIOLET V6 3.0 TDI (204ch) MULTITRONIC 8
220,220,AUDI,A5 CABRIOLET,A5 CABRIOLET V6 3.0 TFSI (272ch) QUATTRO S TRONIC 7
221,221,AUDI,A5 COUPE,A5 2.0 TDI (163ch)
222,222,AUDI,A5 COUPE,A5 2.0 TDI (177ch)
223,223,AUDI,A5 COUPE,A5 2.0 TDI (177ch) MULTITRONIC 8
224,224,AUDI,A5 COUPE,A5 2.0 TDI (177ch) QUATTRO
225,225,AUDI,A5 COUPE,A5 2.0 TDI (177ch) QUATTRO S TRONIC 7
226,226,AUDI,A5 COUPE,A5 2.0 TDI (190ch)
227,227,AUDI,A5 COUPE,A5 2.0 TDI (190ch) MULTITRONIC 8
228,228,AUDI,A5 COUPE,A5 2.0 TDI (190ch) QUATTRO
229,229,AUDI,A5 COUPE,A5 2.0 TDI (190ch) QUATTRO S TRONIC 7
230,230,AUDI,A5 COUPE,A5 2.0 TFSI (170ch)
231,231,AUDI,A5 COUPE,A5 2.0 TFSI (170ch) MULTITRONIC 8
232,232,AUDI,A5 COUPE,A5 2.0 TFSI (225ch)
233,233,AUDI,A5 COUPE,A5 2.0 TFSI (225ch) MULTITRONIC 8
234,234,AUDI,A5 COUPE,A5 2.0 TFSI (225ch) QUATTRO
235,235,AUDI,A5 COUPE,A5 2.0 TFSI (225ch) QUATTRO S TRONIC 7
236,236,AUDI,A5 COUPE,A5 V6 3.0 TDI (204ch)
237,237,AUDI,A5 COUPE,A5 V6 3.0 TDI (204ch) MULTITRONIC 8
238,238,AUDI,A5 COUPE,A5 V6 3.0 TDI (245ch) QUATTRO
239,239,AUDI,A5 COUPE,A5 V6 3.0 TDI (245ch) QUATTRO S TRONIC 7
240,240,AUDI,A5 COUPE,A5 V6 3.0 TDI (245ch) QUATTRO S TRONIC 7 CLEAN DIESEL
241,241,AUDI,A5 COUPE,A5 V6 3.0 TFSI (272ch) QUATTRO S TRONIC 7
242,242,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (150ch)
243,243,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (150ch) MULTITRONIC 8
244,244,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (163ch)
245,245,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (177ch)
246,246,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (177ch) MULTITRONIC 8
247,247,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (177ch) QUATTRO
248,248,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (177ch) QUATTRO S TRONIC 7
249,249,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (190ch)
250,250,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (190ch) MULTITRONIC 8
251,251,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (190ch) QUATTRO
252,252,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TDI (190ch) QUATTRO S TRONIC 7
253,253,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TFSI (170ch)
254,254,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TFSI (170ch) MULTITRONIC 8
255,255,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TFSI (225ch)
256,256,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TFSI (225ch) MULTITRONIC 8
257,257,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TFSI (225ch) QUATTRO
258,258,AUDI,A5 SPORTBACK,A5 SPORTBACK 2.0 TFSI (225ch) QUATTRO S TRONIC 7
259,259,AUDI,A5 SPORTBACK,A5 SPORTBACK V6 3.0 TDI (204ch)
260,260,AUDI,A5 SPORTBACK,A5 SPORTBACK V6 3.0 TDI (204ch) MULTITRONIC 8
261,261,AUDI,A5 SPORTBACK,A5 SPORTBACK V6 3.0 TDI (245ch) QUATTRO
262,262,AUDI,A5 SPORTBACK,A5 SPORTBACK V6 3.0 TDI (245ch) QUATTRO S TRONIC 7
263,263,AUDI,A5 SPORTBACK,A5 SPORTBACK V6 3.0 TFSI (272ch) QUATTRO S TRONIC 7
264,264,AUDI,A5 SPORTBACK,A5 V6 3.0 TDI (245ch) QUATTRO S TRONIC 7 CLEAN DIESEL
265,265,AUDI,A6 ALLROAD QUATTRO,A6 ALLROAD V6 3.0 BiTDI (313ch) QUATTRO TIPTRONIC 8
266,266,AUDI,A6 ALLROAD QUATTRO,A6 ALLROAD V6 3.0 TDI (204ch) QUATTRO S TRONIC 7
267,267,AUDI,A6 ALLROAD QUATTRO,A6 ALLROAD V6 3.0 TDI (245ch) QUATTRO S TRONIC 7
268,268,AUDI,A6 ALLROAD QUATTRO,A6 ALLROAD V6 3.0 TDI CLEAN DIESEL (245ch) QUATTRO S TRONIC 7
269,269,AUDI,A6 ALLROAD QUATTRO,A6 ALLROAD V6 3.0 TFSI (310ch) QUATTRO S TRONIC 7
270,270,AUDI,A6 AVANT,A6 AVANT 2.0 TDI (136ch) MANUELLE 6
271,271,AUDI,A6 AVANT,A6 AVANT 2.0 TDI (136ch) MULTITRONIC 8
272,272,AUDI,A6 AVANT,A6 AVANT 2.0 TDI (177ch) MANUELLE 6
273,273,AUDI,A6 AVANT,A6 AVANT 2.0 TDI (177ch) MULTITRONIC 8
274,274,AUDI,A6 AVANT,A6 AVANT 2.0 TDI ultra (190ch) MANUELLE 6
275,275,AUDI,A6 AVANT,A6 AVANT 2.0 TDI ultra (190ch) S TRONIC 7
276,276,AUDI,A6 AVANT,A6 AVANT 2.0 TFSI (180ch) MANUELLE 6
277,277,AUDI,A6 AVANT,A6 AVANT 2.0 TFSI (180ch) MULTITRONIC 8
278,278,AUDI,A6 AVANT,A6 AVANT V6 2.8 FSI (204ch) MANUELLE 6
279,279,AUDI,A6 AVANT,A6 AVANT V6 2.8 FSI (204ch) MULTITRONIC 8
280,280,AUDI,A6 AVANT,A6 AVANT V6 2.8 FSI (204ch) QUATTRO S TRONIC 7
281,281,AUDI,A6 AVANT,A6 AVANT V6 3.0 BiTDI (313ch) QUATTRO S TRONIC 7
282,282,AUDI,A6 AVANT,A6 AVANT V6 3.0 TDI (204ch) MANUELLE 6
283,283,AUDI,A6 AVANT,A6 AVANT V6 3.0 TDI (204ch) MULTITRONIC 8
284,284,AUDI,A6 AVANT,A6 AVANT V6 3.0 TDI (204ch) QUATTRO S TRONIC 7
285,285,AUDI,A6 AVANT,A6 AVANT V6 3.0 TDI (245ch) QUATTRO S TRONIC 7
286,286,AUDI,A6 AVANT,A6 AVANT V6 3.0 TDI CLEAN DIESEL (245ch) QUATTRO S TRONIC 7
287,287,AUDI,A6 AVANT,A6 AVANT V6 3.0 TFSI (310ch) QUATTRO S TRONIC 7
288,288,AUDI,A6 LIMOUSINE,A6 2.0 TDI (136ch) MULTITRONIC 8
289,289,AUDI,A6 LIMOUSINE,A6 2.0 TDI (177ch) MANUELLE 6
290,290,AUDI,A6 LIMOUSINE,A6 2.0 TDI (177ch) MULTITRONIC 8
291,291,AUDI,A6 LIMOUSINE,A6 2.0 TDI ultra (190ch) MANUELLE 6
292,292,AUDI,A6 LIMOUSINE,A6 2.0 TDI ultra (190ch) S TRONIC 7
293,293,AUDI,A6 LIMOUSINE,A6 2.0 TFSI (180ch) MANUELLE 6
294,294,AUDI,A6 LIMOUSINE,A6 2.0 TFSI (180ch) MULTITRONIC 8
295,295,AUDI,A6 LIMOUSINE,A6 AVANT 2.0 TDI (136ch) MANUELLE 6
296,296,AUDI,A6 LIMOUSINE,A6 V6 2.8 FSI (204ch) MANUELLE 6
297,297,AUDI,A6 LIMOUSINE,A6 V6 2.8 FSI (204ch) MULTITRONIC 8
298,298,AUDI,A6 LIMOUSINE,A6 V6 2.8 FSI (204ch) QUATTRO S TRONIC 7
299,299,AUDI,A6 LIMOUSINE,A6 V6 3.0 TDI (204ch) MANUELLE 6
300,300,AUDI,A6 LIMOUSINE,A6 V6 3.0 TDI (204ch) MULTITRONIC 8
301,301,AUDI,A6 LIMOUSINE,A6 V6 3.0 TDI (204ch) QUATTRO S TRONIC 7
302,302,AUDI,A6 LIMOUSINE,A6 V6 3.0 TDI (245ch) QUATTRO S TRONIC 7
303,303,AUDI,A6 LIMOUSINE,A6 V6 3.0 TDI (313ch) QUATTRO TIPTRONIC 8
304,304,AUDI,A6 LIMOUSINE,A6 V6 3.0 TDI CLEAN DIESEL (245ch) QUATTRO S TRONIC 7
305,305,AUDI,A6 LIMOUSINE,A6 V6 3.0 TFSI (310ch) QUATTRO S TRONIC 7
306,306,AUDI,A6 LIMOUSINE HYBRID,A6 FULL HYBRID (245ch) TIPTRONIC 8
