,ID_Consommation,Conso_urb,Conso_exurb,Conso_mixte
26070,26070,8.800000191,6.400000095,7.199999809
26071,26071,8.899999619,6.5,7.300000191
26072,26072,10.10000038,6.900000095,8.100000381
26073,26073,8.800000191,6.400000095,7.199999809
26074,26074,8.899999619,6.5,7.300000191
26075,26075,8.899999619,6.5,7.300000191
26076,26076,8.899999619,6.5,7.300000191
26077,26077,9.300000191,6.5,7.5
26078,26078,8.899999619,6.5,7.300000191
26079,26079,9.899999619,6.699999809,7.900000095
26080,26080,8.899999619,6.5,7.300000191
26081,26081,9.899999619,6.699999809,7.900000095
26082,26082,9.300000191,6.5,7.5
26083,26083,8.899999619,6.5,7.300000191
26084,26084,9.899999619,6.699999809,7.900000095
26085,26085,8.899999619,6.5,7.300000191
26086,26086,9.899999619,6.699999809,7.900000095
26087,26087,10.0,6.800000191,8.0
26088,26088,9.399999619,6.599999905,7.599999905
26089,26089,9.399999619,6.599999905,7.599999905
26090,26090,8.899999619,6.5,7.300000191
26091,26091,8.899999619,6.5,7.300000191
26092,26092,10.0,6.800000191,8.0
26093,26093,10.0,6.800000191,8.0
26094,26094,8.899999619,6.5,7.300000191
26095,26095,8.899999619,6.5,7.300000191
26096,26096,10.0,6.800000191,8.0
26097,26097,9.5,6.699999809,7.699999809
26098,26098,8.899999619,6.5,7.300000191
26099,26099,10.10000038,6.900000095,8.100000381
26100,26100,8.899999619,6.5,7.300000191
26101,26101,10.10000038,6.900000095,8.100000381
26102,26102,9.5,6.699999809,7.699999809
26103,26103,8.899999619,6.5,7.300000191
26104,26104,10.10000038,6.900000095,8.100000381
26105,26105,10.10000038,6.900000095,8.100000381
26106,26106,8.699999809,6.300000191,7.099999905
26107,26107,9.899999619,6.699999809,7.900000095
26108,26108,10.10000038,6.900000095,8.100000381
26109,26109,9.300000191,6.5,7.5
26110,26110,8.699999809,6.300000191,7.099999905
26111,26111,9.899999619,6.699999809,7.900000095
26112,26112,10.10000038,6.900000095,8.100000381
26113,26113,9.300000191,6.5,7.5
26114,26114,9.399999619,6.599999905,7.599999905
26115,26115,8.800000191,6.400000095,7.199999809
26116,26116,8.800000191,6.400000095,7.199999809
26117,26117,10.0,6.800000191,8.0
26118,26118,10.0,6.800000191,8.0
26119,26119,10.10000038,6.900000095,8.100000381
26120,26120,10.10000038,6.900000095,8.100000381
26121,26121,9.399999619,6.599999905,7.599999905
26122,26122,9.5,6.699999809,7.699999809
26123,26123,8.899999619,6.5,7.300000191
26124,26124,8.899999619,6.5,7.300000191
26125,26125,10.10000038,6.900000095,8.100000381
26126,26126,10.10000038,6.900000095,8.100000381
26127,26127,9.300000191,6.5,7.5
26128,26128,9.300000191,6.5,7.5
26129,26129,9.5,6.699999809,7.699999809
26130,26130,9.899999619,6.699999809,7.900000095
26131,26131,10.10000038,6.900000095,8.100000381
26132,26132,9.399999619,6.599999905,7.599999905
26133,26133,8.699999809,6.300000191,7.099999905
26134,26134,9.899999619,6.699999809,7.900000095
26135,26135,10.10000038,6.900000095,8.100000381
26136,26136,9.399999619,6.599999905,7.599999905
26137,26137,8.699999809,6.300000191,7.099999905
26138,26138,10.0,6.800000191,8.0
26139,26139,10.10000038,6.900000095,8.100000381
26140,26140,9.5,6.699999809,7.699999809
26141,26141,8.800000191,6.400000095,7.199999809
26142,26142,10.0,6.800000191,8.0
26143,26143,10.10000038,6.900000095,8.100000381
26144,26144,9.5,6.699999809,7.699999809
26145,26145,8.800000191,6.400000095,7.199999809
26146,26146,10.10000038,6.900000095,8.100000381
26147,26147,9.300000191,6.5,7.5
26148,26148,9.5,6.699999809,7.699999809
26149,26149,8.899999619,6.5,7.300000191
26150,26150,10.10000038,6.900000095,8.100000381
26151,26151,9.300000191,6.5,7.5
26152,26152,9.5,6.699999809,7.699999809
26153,26153,10.10000038,6.900000095,8.100000381
26154,26154,9.399999619,6.599999905,7.599999905
26155,26155,9.899999619,6.699999809,7.900000095
26156,26156,10.10000038,6.900000095,8.100000381
26157,26157,9.399999619,6.599999905,7.599999905
26158,26158,11.19999981,7.5,8.899999619
26159,26159,11.19999981,7.5,8.899999619
26160,26160,11.10000038,7.400000095,8.800000191
26161,26161,11.10000038,7.400000095,8.800000191
26162,26162,11.19999981,7.5,8.899999619
26163,26163,11.19999981,7.5,8.899999619
26164,26164,11.19999981,7.5,8.899999619
26165,26165,11.10000038,7.400000095,8.800000191
26166,26166,11.10000038,7.400000095,8.800000191
26167,26167,11.10000038,7.400000095,8.800000191
26168,26168,11.19999981,7.5,8.899999619
26169,26169,11.10000038,7.400000095,8.800000191
26170,26170,11.19999981,7.5,8.899999619
26171,26171,11.19999981,7.5,8.899999619
26172,26172,11.10000038,7.400000095,8.800000191
26173,26173,11.10000038,7.400000095,8.800000191
26174,26174,11.10000038,7.400000095,8.800000191
26175,26175,11.19999981,7.5,8.899999619
26176,26176,11.19999981,7.5,8.899999619
26177,26177,11.10000038,7.400000095,8.800000191
26178,26178,11.10000038,7.400000095,8.800000191
26179,26179,11.10000038,7.400000095,8.800000191
26180,26180,11.19999981,7.5,8.899999619
26181,26181,11.19999981,7.5,8.899999619
26182,26182,11.10000038,7.400000095,8.800000191
26183,26183,11.10000038,7.400000095,8.800000191
26184,26184,11.10000038,7.400000095,8.800000191
26185,26185,11.19999981,7.5,8.899999619
26186,26186,11.19999981,7.5,8.899999619
26187,26187,11.19999981,7.5,8.899999619
26188,26188,11.10000038,7.400000095,8.800000191
26189,26189,11.19999981,7.5,8.899999619
26190,26190,11.10000038,7.400000095,8.800000191
26191,26191,11.19999981,7.5,8.899999619
26192,26192,11.19999981,7.5,8.899999619
26193,26193,11.10000038,7.400000095,8.800000191
26194,26194,11.19999981,7.5,8.899999619
26195,26195,11.19999981,7.5,8.899999619
26196,26196,11.10000038,7.400000095,8.800000191
26197,26197,11.19999981,7.5,8.899999619
26198,26198,11.19999981,7.5,8.899999619
26199,26199,11.10000038,7.400000095,8.800000191
26200,26200,11.19999981,7.5,8.899999619
26201,26201,11.19999981,7.5,8.899999619
26202,26202,11.10000038,7.400000095,8.800000191
26203,26203,11.19999981,7.5,8.899999619
26204,26204,11.19999981,7.5,8.899999619
26205,26205,11.10000038,7.400000095,8.800000191
26206,26206,11.19999981,7.5,8.899999619
26207,26207,11.19999981,7.5,8.899999619
26208,26208,11.10000038,7.400000095,8.800000191
26209,26209,11.19999981,7.5,8.899999619
26210,26210,11.19999981,7.5,8.899999619
26211,26211,11.10000038,7.400000095,8.800000191
26212,26212,11.19999981,7.5,8.899999619
26213,26213,11.10000038,7.400000095,8.800000191
26214,26214,11.19999981,7.5,8.899999619
26215,26215,11.19999981,7.5,8.899999619
26216,26216,11.19999981,7.5,8.899999619
26217,26217,11.19999981,7.5,8.899999619
26218,26218,11.10000038,7.400000095,8.800000191
26219,26219,11.10000038,7.400000095,8.800000191
26220,26220,11.19999981,7.5,8.899999619
26221,26221,11.19999981,7.5,8.899999619
26222,26222,11.19999981,7.5,8.899999619
26223,26223,11.19999981,7.5,8.899999619
26224,26224,11.10000038,7.400000095,8.800000191
26225,26225,11.10000038,7.400000095,8.800000191
26226,26226,11.19999981,7.5,8.899999619
26227,26227,11.10000038,7.400000095,8.800000191
26228,26228,11.19999981,7.5,8.899999619
26229,26229,11.19999981,7.5,8.899999619
26230,26230,11.10000038,7.400000095,8.800000191
26231,26231,11.10000038,7.400000095,8.800000191
26232,26232,11.19999981,7.5,8.899999619
26233,26233,11.10000038,7.400000095,8.800000191
26234,26234,11.19999981,7.5,8.899999619
26235,26235,11.19999981,7.5,8.899999619
26236,26236,11.10000038,7.400000095,8.800000191
26237,26237,11.19999981,7.5,8.899999619
26238,26238,11.19999981,7.5,8.899999619
26239,26239,11.10000038,7.400000095,8.800000191
26240,26240,11.19999981,7.5,8.899999619
26241,26241,11.10000038,7.400000095,8.800000191
26242,26242,11.19999981,7.5,8.899999619
26243,26243,11.19999981,7.5,8.899999619
26244,26244,11.19999981,7.5,8.899999619
26245,26245,11.10000038,7.400000095,8.800000191
26246,26246,11.10000038,7.400000095,8.800000191
26247,26247,11.10000038,7.400000095,8.800000191
26248,26248,11.19999981,7.5,8.899999619
26249,26249,11.19999981,7.5,8.899999619
26250,26250,11.10000038,7.400000095,8.800000191
26251,26251,11.10000038,7.400000095,8.800000191
26252,26252,11.19999981,7.5,8.899999619
26253,26253,11.19999981,7.5,8.899999619
26254,26254,11.10000038,7.400000095,8.800000191
26255,26255,11.10000038,7.400000095,8.800000191
26256,26256,11.19999981,7.5,8.899999619
26257,26257,11.10000038,7.400000095,8.800000191
26258,26258,11.10000038,7.400000095,8.800000191
26259,26259,11.19999981,7.5,8.899999619
26260,26260,11.19999981,7.5,8.899999619
26261,26261,11.10000038,7.400000095,8.800000191
26262,26262,11.19999981,7.5,8.899999619
26263,26263,11.19999981,7.5,8.899999619
26264,26264,11.10000038,7.400000095,8.800000191
26265,26265,11.10000038,7.400000095,8.800000191
26266,26266,11.19999981,7.5,8.899999619
26267,26267,11.19999981,7.5,8.899999619
26268,26268,11.10000038,7.400000095,8.800000191
26269,26269,11.10000038,7.400000095,8.800000191
26270,26270,11.19999981,7.5,8.899999619
26271,26271,11.19999981,7.5,8.899999619
26272,26272,11.10000038,7.400000095,8.800000191
26273,26273,11.10000038,7.400000095,8.800000191
26274,26274,11.19999981,7.5,8.899999619
26275,26275,11.10000038,7.400000095,8.800000191
26276,26276,11.10000038,7.400000095,8.800000191
26277,26277,11.10000038,7.400000095,8.800000191
26278,26278,11.19999981,7.5,8.899999619
26279,26279,11.19999981,7.5,8.899999619
26280,26280,11.19999981,7.5,8.899999619
26281,26281,11.19999981,7.5,8.899999619
26282,26282,11.10000038,7.400000095,8.800000191
26283,26283,11.19999981,7.5,8.899999619
26284,26284,11.19999981,7.5,8.899999619
26285,26285,11.10000038,7.400000095,8.800000191
26286,26286,11.10000038,7.400000095,8.800000191
26287,26287,11.19999981,7.5,8.899999619
26288,26288,11.19999981,7.5,8.899999619
26289,26289,11.19999981,7.5,8.899999619
26290,26290,11.19999981,7.5,8.899999619
26291,26291,11.19999981,7.5,8.899999619
26292,26292,11.10000038,7.400000095,8.800000191
26293,26293,11.19999981,7.5,8.899999619
26294,26294,11.19999981,7.5,8.899999619
26295,26295,11.19999981,7.5,8.899999619
26296,26296,11.19999981,7.5,8.899999619
26297,26297,11.10000038,7.400000095,8.800000191
